misspell,update,towns,county,state,code
edgemoore,edgemoor,Edgemoor,chester,sc,townoutside
eureka mill,eurekamill,Eureka Mill,chester,sc,townoutside
fort lawn,fortlawn,Fort Lawn,chester,sc,townoutside
great falls,greatfalls,Great Falls,chester,sc,townoutside
lando,lando,Lando,chester,sc,townoutside
lands ford,landsford,Landsford,chester,sc,townoutside
leed,leeds,Leeds,chester,sc,townoutside
lowry,lowrys,Lowrys,chester,sc,townoutside
rich burg,richburg,Richburg,chester,sc,townoutside
wilks burg,wilksburg,Wilksburg,chester,sc,townoutside
lancaster,lancaster,Lancaster,lancaster,sc,countyname
antioch,antioch,Antioch,lancaster,sc,townoutside
anvil rock,anvilrock,Anvil Rock,lancaster,sc,townoutside
buford,buford,Buford,lancaster,sc,townoutside
caskey,caskey,Caskey,lancaster,sc,townoutside
cauthens crossroads,cauthens,Cauthens Crossroads,lancaster,sc,townoutside
elgin,elgin,Elgin,lancaster,sc,townoutside
evergreen acres,evergreenacres,Evergreen Acres,lancaster,sc,townoutside
heath springs,heathsprings,Heath Springs,lancaster,sc,townoutside
indian land,indianland,Indian Land,lancaster,sc,townoutside
irwin,irwin,Irwin,lancaster,sc,townoutside
kershaw,kershaw,Kershaw,lancaster,sc,townoutside
lancaster,lancaster,Lancaster,lancaster,sc,townoutside
arrowood estates,arrowoodestates,Lancaster,lancaster,sc,neighborhoodname
pleasant hill,pleasanthill,Pleasant Hill,lancaster,sc,townoutside
spring dale,springdale,Springdale,lancaster,sc,townoutside
stone boro,stoneboro,Stoneboro,lancaster,sc,townoutside
taxhaw,taxahaw,Taxahaw,lancaster,sc,townoutside
tradeville,tradesville,Tradesville,lancaster,sc,townoutside
van wyck,vanwyck,Van Wyck,lancaster,sc,townoutside
west wood,westwood,Westwood,lancaster,sc,townoutside
white bluff crossroads,whitebluff,White Bluff Crossroads,lancaster,sc,townoutside
york,york,york,york,sc,countyname
bowling green,bowlinggreen,Bowling Green,york,sc,townoutside
catawba,catawba,Catawba,york,sc,townoutside
clover,clover,Clover,york,sc,townoutside
fillbert,filbert,Filbert,york,sc,townoutside
fort mill,fortmill,Fort Mill,york,sc,townoutside
kanawha hills,kanawhahills,Fort Mill,york,sc,neighborhoodname
guthries,guthries,Guthries,york,sc,townoutside
hickory grove,hickorygrove,Hickory Grove,york,sc,townoutside
hope well,hopewell,Hopewell,york,sc,townoutside
india hook,indiahook,India Hook,york,sc,townoutside
river hills,riverhills,Lake Wylie,york,sc,neighborhoodname
leslie,lesslie,Lesslie,york,sc,townoutside
mc connells,mcconnells,McConnells,york,sc,townoutside
new port,newport,Newport,york,sc,townoutside
willow acres,willowacres,Newport,york,sc,neighborhoodname
wood bridge,woodbridge,Newport,york,sc,neighborhoodname
wood forest,woodforest,Newport,york,sc,neighborhoodname
wood wind,woodwind,Newport,york,sc,neighborhoodname
red river,redriver,Red River,york,sc,townoutside
river view,riverview,Riverview,york,sc,townoutside
rock hill,rockhill,Rock Hill,york,sc,townoutside
avondale terrace,avondaleterrace,Rock Hill,york,sc,neighborhoodname
cedar grove park,cedargrovepark,Rock Hill,york,sc,neighborhoodname
pecan grove,pecangrove,Rock Hill,york,sc,neighborhoodname
pine ridge,pineridge,Rock Hill,york,sc,neighborhoodname
sunset acres,sunsetacres,Rock Hill,york,sc,neighborhoodname
westerwood acres,westerwoodacres,Rock Hill,york,sc,neighborhoodname
whispering hills,whisperinghills,Rock Hill,york,sc,neighborhoodname
winthrop heights,winthropheights,Rock Hill,york,sc,neighborhoodname
sharon,sharon,Sharon,york,sc,townoutside
smith,smith,Smith,york,sc,townoutside
smyrna,smyrna,Smyrna,york,sc,townoutside
spring valley,springvalley,Spring Valley,york,sc,townoutside
tega cay,tegacay,Tega Cay,york,sc,townoutside
tirzah,tirzah,Tirzah,york,sc,townoutside
winter crest,wintercrest,Wintercrest,york,sc,townoutside
wood vale,woodvale,Woodvale,york,sc,townoutside
wooded valley,woodedvalley,York,york,sc,townoutside
south park,southpark,charlotte,mecklenburg,nc,neighborhoodname
latta park,lattapark,charlotte,mecklenburg,nc,neighborhoodname
